Country Name,Country Code,Region,Sub-Region,Series Name,Series Code,2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Aruba,ABW,Americas,Caribbean,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-0.383137672,1.127411464,3.089544385,1.835755172,-11.67774137,-2.733456793,3.369237184,-1.040799884,6.431482604,-1.586575138,-0.623625902,1.71962498,7.048533386,2.3970862,-2.232442027,-26.21182021,24.13262736,8.517918105,4.263719415,..
Aruba,ABW,Americas,Caribbean,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,31249.27804,31038.88987,31759.8232,32097.04022,28157.14899,27324.55543,28037.86979,27341.22743,28668.72042,27914.84334,27458.22533,27719.50073,29671.13583,30334.11622,29576.80971,21947.99533,27469.00562,29917.12803,31178.47368,..
Aruba,ABW,Americas,Caribbean,GDP (constant 2015 US$),NY.GDP.MKTP.KD,3051023261,3085420847,3180746294,3239137008,2860878966,2782678075,2876433100,2846495188,3029567030,2981500673,2962907263,3013858156,3226290954,3303627930,3229876351,2383266969,2958411905,3210407009,3347289756,..
Aruba,ABW,Americas,Caribbean,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,4.447572928,12.57421133,9.645360358,0.003930034,6.722391272,-18.75253732,-9.877655997,3.473451275,-11.81320642,-4.658576876,3.994141686,4.731777741,1.11979545,-0.591367073,2.497109655,-12.75075414,2.705530365,7.030547162,5.330807273,..
Aruba,ABW,Americas,Caribbean,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,93.4,100,100,100,100,100,100,100,100,100,100,100,99.9,100,..
Aruba,ABW,Americas,Caribbean,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,-8.899683768,-11.85432143,-9.849784414,-8.051559693,-11.719449,-15.0282825,-14.93576135,-10.4381056,-8.794657056,-6.331064747,-0.127837599,1.401106633,1.293084137,-0.70800444,1.12561035,-18.15205848,-5.535489846,2.256389049,6.889289943,..
Aruba,ABW,Americas,Caribbean,GDP per capita (current US$),NY.GDP.PCAP.CD,24171.83713,24845.65848,26736.30894,28171.9094,25134.77123,24093.14015,25712.3843,25119.66554,25813.57673,26129.83906,27458.22533,27441.52966,28440.05196,30082.12764,31096.20507,22855.93232,27200.06108,30559.53353,33984.79062,..
Aruba,ABW,Americas,Caribbean,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,-2.930823494,-0.6732577,2.322677579,1.061772352,-12.27493628,-2.95695265,2.610525059,-2.484647977,4.855279431,-2.62961536,-1.63575345,0.951537825,7.040657465,2.234428765,-2.496550426,-25.79322942,25.15496385,8.912308079,4.21613214,..
Aruba,ABW,Americas,Caribbean,GDP (current US$),NY.GDP.MKTP.CD,2360017318,2469782682,2677641341,2843024581,2553793296,2453597207,2637859218,2615208380,2727849721,2790849721,2962907263,2983635196,3092429050,3276184358,3395798883,2481857123,2929446578,3279343544,3648573136,..
Australia,AUS,Oceania,Australia and New Zealand,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,43257063109,55078716458,26907894339,32923506492,41742190607,42267797177,46714016758,49138172006,52837027750,53910325023,45406035071,52480791523,65653718118,53909533420,57994685703,42544629265,57877502314,56701901830,61703347652,60404058269
Australia,AUS,Oceania,Australia and New Zealand,Total reserves minus gold (current US$),FI.RES.XGLD.CD,41941218109,53448145958,24768491839,30690858242,38950159653,38659316477,42783351487,44866044631,49744613433,50814059630,42752855071,49797093723,62617315118,51077086920,55603575703,39151995865,53789557714,53385301330,56605094852,54455310269
Australia,AUS,Oceania,Australia and New Zealand,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.154167532,2.755346106,3.773321713,3.586266952,1.892555819,2.219980265,2.407080183,3.916709425,2.602193394,2.595284116,2.190169287,2.759385972,2.279591798,2.878469715,2.171545057,-0.119590736,2.111168148,4.242385553,3.4419922,1.43111252
Australia,AUS,Oceania,Australia and New Zealand,GDP per capita (constant 2015 US$),NY.GDP.PCAP.KD,50853.19767,51553.9686,52531.76112,53336.10122,53237.00776,53578.8125,54111.35724,55257.57393,55728.0174,56327.85331,56739.02653,57401.06623,57750.64822,58530.78217,58924.73365,58132.79852,59276.50311,61009.80771,61598.17761,61211.89676
Australia,AUS,Oceania,Australia and New Zealand,GDP (constant 2015 US$),NY.GDP.MKTP.KD,1.02606E+12,1.05433E+12,1.09411E+12,1.13335E+12,1.1548E+12,1.18044E+12,1.20885E+12,1.2562E+12,1.28888E+12,1.32233E+12,1.3513E+12,1.38858E+12,1.42024E+12,1.46112E+12,1.49285E+12,1.49106E+12,1.52254E+12,1.58713E+12,1.64176E+12,1.66526E+12
Australia,AUS,Oceania,Australia and New Zealand,Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,-6.230183374,-6.184973241,-7.565036583,-4.882061858,-5.231444863,-4.005068623,-3.264009301,-4.44404469,-3.257998884,-3.092661633,-4.312576111,-3.616312188,-3.00161155,-2.561160666,-0.020710514,1.874337483,2.610660789,0.337521409,-0.289053311,-2.069384519
Australia,AUS,Oceania,Australia and New Zealand,Access to electricity (% of population),EG.ELC.ACCS.ZS,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,..
Australia,AUS,Oceania,Australia and New Zealand,External balance on goods and services (% of GDP),NE.RSB.GNFS.ZS,-2.7120014,-1.852368733,-1.641012173,-2.549021769,0.281107083,-0.929065062,1.02336244,-0.177979101,-1.319741282,-0.308816238,-1.531679355,-2.416590969,0.309503287,0.052115991,2.131854103,3.389022251,3.810871685,5.241405827,4.373298207,2.0961896
Australia,AUS,Oceania,Australia and New Zealand,GDP per capita (current US$),NY.GDP.PCAP.CD,34479.76793,36595.70715,41051.61207,49701.28178,42816.5674,52144.66547,62605.60046,68072.87323,68190.701,62544.08738,56739.02653,49888.04108,53901.71454,57196.42208,54972.70179,51791.54018,60607.77886,64997.01365,64835.91998,64407.48426
Australia,AUS,Oceania,Australia and New Zealand,GDP per capita growth (annual %),NY.GDP.PCAP.KD.ZG,1.906093171,1.378027255,1.896638707,1.531150067,-0.185790579,0.642043486,0.993946507,2.118255292,0.851364693,1.076363256,0.729964315,1.166815387,0.609016554,1.350866131,0.673067166,-1.343977433,1.967399837,2.924100641,0.964385754,-0.627097846
Australia,AUS,Oceania,Australia and New Zealand,GDP (current US$),NY.GDP.MKTP.CD,6.95693E+11,7.48418E+11,8.55007E+11,1.05611E+12,9.28762E+11,1.14884E+12,1.39861E+12,1.54753E+12,1.57712E+12,1.46827E+12,1.3513E+12,1.20684E+12,1.32558E+12,1.42781E+12,1.39272E+12,1.32841E+12,1.55674E+12,1.69086E+12,1.72806E+12,1.75219E+12
